Product_Title,Price,Shop,Category_Id
GIGABTYE GEFORCE GTX 1650 OC 4GB GDDR5 GRAPHICS CARD #GV-N1650OC-4GD,18000,RYANS,1
MSI GEFORCE GTX 1650 GAMING X 4GB GDDR5 GRAPHICS CARD,18200,RYANS,1
SAPPHIRE NITRO+ RADEON RX 580 OC 4G DDR5 4GB GRAPHICS CARD #11265-07-41G,18500,RYANS,1
ASUS CERBERUS GEFORCE GTX 1050 TI OC 4GB GDDR5 GRAPHICS CARD #CERBERUS-GTX1050TI-O4G	,18700,RYANS,1
ASUS TUF GAMING GEFORCE GTX 1650 4GB GDDR5 GRAPHICS CARD #TUF-GTX1650-4G-GAMING,19400,RYANS,1
COLORFUL IGAME GTX1060 VULCAN U 3G 3GB GDDR5 GRAPHICS CRAD #212326096815,19500,RYANS,1
ZOTAC GEFORCE GTX 1060 3GB GDDR5 GRAPHICS CARD #ZT-P10610A-10L,19700,RYANS,1
ASUS TUF GAMING GEFORCE GTX 1650 OC EDITION 4GB GDDR5 GRAPHICS CARD #TUF-GTX1650-O4G-GAMING,20000,RYANS,1
SAPPHIRE PULSE RADEON RX 580 8GB DDR5 GRAPHICS CARD #11265-05-20G,20300,RYANS,1
GIGABYTE GEFORCE GTX 1650 GAMING OC 4GB GDDR5 GRAPHICS CARD #GV-N1650GAMING OC-4GD,20400,RYANS,1
ASUS ROG STRIX GEFORCE GTX 1650 OC 4GB GDDR5 GRAPHICS CARD #ROG-STRIX-GTX1650-O4G-GAMING,21200,RYANS,1
ASUS ROG STRIX RX570 OC EDITION 4GB GDDR5 GRAPHICS CARD WITH ASUS AURA SYNC #ROG-STRIX-RX570-O4G-GAMING,21800,RYANS,1
ASUS EXPEDITION RADEON RX 570 OC 8GB GDDR5 GRAPHICS CARD #EX-RX570-O8G,21800,RYANS,1
ASUS DUAL-RX580-O4G 4GB GDDR5 GRAPHICS CARD #DUAL-RX580-O4G,22000,RYANS,1
SAPPHIRE NITRO+ RADEON RX 580 8GB DDR5 GRAPHICS CARD #11265-01-20G	,22300,RYANS,1
ASUS DUAL SERIES RADEON RX 580 OC 8GB GDDR5 GRAPHICS CARD #DUAL-RX580-O8G,24500,RYANS,1
ASUS DUAL SERIES RADEON RX 580 OC 8GB GDDR5 GRAPHICS CARD ,24500,RYANS,1
ASUS PHOENIX GEFORCE GTX 1660 6GB GDDR5 GRAPHICS CARD #PH-GTX1660-6G,24700,RYANS,1
GIGABYTE GEFORCE GTX 1660 GAMING 6GB GDDR5 GRAPHICS CARD #GV-N1660GAMING-6GD,25700,RYANS,1
MSI GEFORCE GTX 1660 GAMING X 6G 6GB GDDR5 GRAPHICS CARD.,25800,RYANS,1
GIGABYTE GEFORCE GTX 1660 GAMING OC 6GB GDDR5 GRAPHICS CARD #GV-N1660GAMING OC-6GD,25800,RYANS,1
ASUS ROG STRIX RADEON RX 580 OC 8GB GDDR5 GRAPHICS CARD #ROG-STRIX-RX580-O8G-GAMING,26000,RYANS,1
ASUS TUF GAMING GEFORCE GTX 1660 OC EDITION 6GB GDDR5 GRAPHICS CARD #TUF-GTX1660-O6G-GAMING,26400,RYANS,1
ASUS TUF GAMING GEFORCE GTX 1660 6GB GDDR5 GRAPHICS CARD #TUF-GTX1660-6G-GAMING,26400,RYANS,1
ZOTAC GAMING GEFORCE GTX 1660 SUPER TWIN FAN 6GB GDDR6 GRAPHICS CARD #ZT-T16620F-10L,26500,RYANS,1
ZOTAC GAMING GEFORCE GTX 1660 TI 6GB GDDR6 GRAPHICS CARD #ZT-T16610F-10L,26800,RYANS,1
GIGABYTE GTX 1660 TI OC 6GB GDDR6 GRAPHICS CARD #GV-N166TOC-6GD	,27000,RYANS,1
GIGABYTE GTX 1060 WINDFORCE OC 6GB GDDR5 GRAPHICS CARD #GV-N1060WF2OC-6GD,27500,RYANS,1
ASUS TUF GAMING X3 GEFORCE GTX 1660 6GB GDDR5 GRAPHICS CARD #TUF3-GTX1660-6G-GAMING,27800,RYANS,1
MSI GEFORCE GTX 1660 TI VENTUS XS 6G OC 6GB GDDR6 GRAPHICS CARD	,28200,RYANS,1
ZOTAC GAMING GEFORCE GTX 1660 SUPER AMP 6GB GDDR6 GRAPHICS CARD #ZT-T16620D-10M,28800,RYANS,1
ZOTAC GAMING GEFORCE GTX 1660 TI AMP 6GB GDDR6 GRAPHICS CARD #ZT-T16610D-10M,29500,RYANS,1
ASUS TUF GAMING X3 GEFORCE GTX 1660 OC EDITION 6GB GDDR5 GRAPHICS CARD #TUF3-GTX1660-O6G-GAMING,30000,RYANS,1
ASUS DUAL GEFORCE GTX 1660 TI OC 6GB GDDR6 GRAPHICS CARD #DUAL-GTX1660TI-O6G,30500,RYANS,1
MSI GEFORCE GTX 1660 TI GAMING X 6G 6GB GDDR6 GRAPHICS CARD	,31300,RYANS,1
ASUS ROG STRIX RADEON RX 590 8GB GDDR5 GRAPHICS CARD #ROG-STRIX-RX590-8G-GAMING	,32000,RYANS,1
SAPPHIRE RADEON RX 5700 8G 8GB GDDR6 GRAPHICS CARD #21294-01-20G,34500,RYANS,1
ASUS ROG STRIX GEFORCE GTX 1660 TI 6GB GDDR6 GRAPHICS CARD #ROG-STRIX-GTX1660TI-6G-GAMING,35000,RYANS,1
ASUS TUF GAMING GEFORCE GTX 1660 TI 6GB GDDR6 GRAPHICS CARD #TUF-GTX1660TI-6G-GAMING,35000,RYANS,1
 GIGABYTE GEFORCE RTX 2060 WINDFORCE OC 6G 6GB DDR6 GRAPHICS CARD #GV-N2060WF2OC-6GD ,35500,RYANS,1
MSI RADEON RX 5700 MECH OC 8GB GDDR6 GRAPHICS CARD,39000,RYANS,1
ASUS TUF GAMING GEFORCE RTX 2060 OC EDITION 6GB GDDR6 GRAPHICS CARD #TUF-RTX2060-O6G-GAMING,42500,RYANS,1
ZOTAC GAMING GEFORCE RTX 2060 SUPER MINI 8GB GDDR6 GRAPHICS CARD #ZT-T20610E-10M,42700,RYANS,1
GIGABYTE RADEON RX 5700 XT GAMING OC 8G GDDR6 8GB GRAPHICS CARD #GV-R57XTGAMING OC-8GD,43000,RYANS,1
ASUS DUAL GEFORCE RTX 2060 SUPER EVO 8GB GDDR6 GRAPHICS CARD #DUAL-RTX2060S-8G-EVO,45000,RYANS,1
ZOTAC GAMING GEFORCE RTX 2060 SUPER AMP 8GB GDDR6 GRAPHICS CARD #ZT-T20610D-10P,45500,RYANS,1
MSI GEFORCE RTX 2060 SUPER VENTUS OC 8GB GDDR6 GRAPHICS CARD,46500,RYANS,1
ZOTAC GAMING GEFORCE RTX 2060 SUPER AMP EXTREME 8GB GDDR6 GRAPHICS CARD #ZT-T20610B-10P,47000,RYANS,1
MSI GEFORCE RTX 2060 SUPER GAMING X 8GB GDDR6 GRAPHICS CARD,50000,RYANS,1
ZOTAC GAMING GEFORCE RTX 2070 SUPER TWIN FAN 8GB GDDR6 GRAPHICS CARD #ZT-T20710F-10P,53300,RYANS,1
ZOTAC GAMING GEFORCE RTX 2070 SUPER AMP 8GB GDDR6 GRAPHICS CARD #ZT-T20710D-10P,55000,RYANS,1
MSI GEFORCE RTX 2070 VENTUS 8GB GDDR6 GRAPHICS CARD,55900,RYANS,1
MSI GEFORCE RTX 2070 SUPER VENTUS OC 8GB GDDR6 GRAPHICS CARD,59500,RYANS,1
COLORFUL GEFORCE RTX 2080 CH 8GB GDDR6 GRAPHICS CARD #212327108002,63000,RYANS,1
GIGABYTE GEFORCE RTX 2080 WINDFORCE OC 8GB GDDR6 GRAPHICS CARD #GV-N2080WF3OC-8GC,67000,RYANS,1
ASUS AMD RADEONVII-16G 16GB HBM2 GRAPHICS CARD,71500,RYANS,1
SAPPHIRE RADEON VII 16G HBM2 HDMI TRIPLE DP (UEFI) 16GB GRAPHICS CARD #21291-01-40G,71500,RYANS,1
COLORFUL IGAME GEFORCE RTX 2080 ADVANCED OC 8GB GDDR6 GRAPHICS CARD #212326108805,72800,RYANS,1
ZOTAC GAMING GEFORCE RTX 2080 SUPER TWIN FAN 8GB GDDR6 GRAPHICS CARD #ZT-T20820F-10P,74000,RYANS,1
GIGABYTE AORUS GEFORCE RTX 2080 XTREME 8GB GDDR6 GRAPHICS CARD #GV-N2080AORUS X-8GC,76000,RYANS,1
MSI GEFORCE RTX 2080 VENTUS 8G V2 8GB GDDR6 GRAPHICS CARD,77500,RYANS,1
ZOTAC GAMING GEFORCE RTX 2080 8GB GDDR6 GRAPHICS CARD #ZT-T20800A-10P,86000,RYANS,1
COLORFUL GEFORCE RTX 2080TI CH 11GB GDDR6 GRAPHICS CARD #212327108001,102000,RYANS,1
ASUS GEFORCE GT 1030 2GB GDDR5 LOW PROFILE GRAPHICS CARD, 7000,BD STALL,1
ASUS EXPEDITION GEFORCE GTX1050 4GB GAMING GRAPHICS CARD, 19000,BD STALL,1
